State	Income
Alabama	40976
Alaska	58198
Arizona	47279
Arkansas	38571
California	54459
Colorado	60442
Connecticut	66452
Delaware	55269
DC	55528
Florida	44243
Georgia	44108
Hawaii	58507
Idaho	47014
Illinois	50761
Indiana	46322
Iowa	49177
Kansas	46229
Kentucky	41236
Louisiana	39443
Maine	48133
Maryland	64025
Massachusetts	61333
Michigan	46441
Minnesota	52554
Mississippi	37985
Missouri	46184
Montana	41467
Nebraska	52728
Nevada	51525
New Hampshire	66707
New Jersey	63540
New Mexico	45098
New York	49826
North Carolina	43753
North Dakota	51380
Ohio	46093
Oklahoma	43400
Oregon	50526
Pennsylvania	48460
Rhode Island	51914
South Carolina	41709
South Dakota	45669
Tennessee	38686
Texas	47464
Utah	56787
Vermont	55942
Virginia	60363
Washington	56253
West Virginia	42839
Wisconsin	50522
Wyoming	52359
