City	State	WalkScore	Population
New York	NY	85.3	8174290
Los Angeles	CA	65.9	3787000
Chicago	IL	74.3	2691070
Houston	TX	49.8	2112810
Philadelphia	PA	74.1	1524270
Phoenix	AZ	45.4	1442530
San Antonio	TX	40.8	1326420
San Diego	CA	55.7	1305700
Dallas	TX	46.9	1197970
San Jose	CA	54.5	942788
Jacksonville	FL	32.6	821996
Indianapolis	IN	37.4	819398
San Francisco	CA	84.9	804533
Austin	TX	46.7	790195
Columbus	OH	47.4	775159
Fort Worth	TX	36.1	740422
Charlotte	NC	34.3	727822
Detroit	MI	49.9	713110
Memphis	TN	39.4	647889
El Paso	TX	37.8	646907
Baltimore	MD	63.9	620567
Boston	MA	79.2	616228
Seattle	WA	73.7	608091
Nashville-Davidson	TN	36.4	601201
Louisville-Jefferson	KY	39.7	599142
Denver	CO	60.4	596983
Milwaukee	WI	60.6	593611
Portland	OR	66.3	583496
Oklahoma City	OK	35.6	580508
Las Vegas	NV	49.2	580138
Albuquerque	NM	47.5	542997
Tucson	AZ	48.2	520109
Fresno	CA	48.6	491455
Sacramento	CA	49.3	466259
Long Beach	CA	66.4	462006
Kansas City	MO	38.1	460377
Mesa	AZ	42.9	438358
Virginia Beach	VA	40.8	437639
Atlanta	GA	52.9	419590
Colorado Springs	CO	45.1	415281
Omaha	NE	50.9	409036
Miami	FL	72.5	398499
Cleveland	OH	58.3	396598
Raleigh	NC	41.4	393039
Tulsa	OK	45.8	391404
Oakland	CA	68.2	390816
Minneapolis	MN	69.3	381729
Wichita	KS	41	379326
Arlington	TX	41.3	365303
Bakersfield	CA	40.8	348382
New Orleans	LA	55.6	343794
Honolulu	HI	63	337183
Tampa	FL	51.1	335749
Anaheim	CA	60.7	335451
Aurora	CO	48.3	326266
Santa Ana	CA	61.6	324761
St. Louis	MO	61.4	319372
Pittsburgh	PA	64.1	305842
Corpus Christi	TX	43.5	305047
Riverside	CA	46.7	303555
Cincinnati	OH	58.9	296565
Lexington-Fayette	KY	42.5	295383
Anchorage	AK	40.8	291828
Stockton	CA	47.5	288846
Toledo	OH	49.8	286097
St. Paul	MN	61.6	284351
Newark	NJ	74	275593
Greensboro	NC	39	267495
Buffalo	NY	60.1	261170
Plano	TX	43.6	259797
Henderson	NV	39.1	257170
Lincoln	NE	49.4	257101
Fort Wayne	IN	39	252642
Jersey City	NJ	85.2	247955
St. Petersburg	FL	44.5	244992
Chula Vista	CA	51.4	243773
Norfolk	VA	47.6	242897
Orlando	FL	47.1	237105
Laredo	TX	32.7	235151
Chandler	AZ	41.5	234398
Madison	WI	55.4	232495
Lubbock	TX	44.3	229784
Baton Rouge	LA	47.5	228866
Winston-Salem	NC	32	228366
Glendale	AZ	44.8	227282
Garland	TX	40.5	226776
Durham	NC	37.2	225060
Hialeah	FL	64	224149
Paradise	NV	57.4	223398
Reno	NV	49.1	223270
Chesapeake	VA	28.3	222581
North Las Vegas	NV	41.7	217126
Scottsdale	AZ	41.6	216614
Irving	TX	46	215836
Fremont	CA	52.4	214084
Irvine	CA	53.8	212841
Birmingham	AL	40	212786
San Bernardino	CA	43.7	211497
Rochester	NY	63.1	211394
Spokane	WA	53.6	208554
Gilbert	AZ	37.7	207773
Arlington	VA	67.1	206779
Montgomery	AL	35.5	205330
Boise City	ID	49.8	204438
Richmond	VA	51.1	203620
Des Moines	IA	49.9	203107
Fayetteville	NC	28.8	200402
Modesto	CA	48.6	199448
Akron	OH	50.7	198557
Tacoma	WA	58.8	198031
Shreveport	LA	37.8	196835
Oxnard	CA	54.6	196160
Fontana	CA	41.6	195934
Augusta-Richmond County	GA	30	195886
Mobile	AL	38.6	195719
Yonkers	NY	71.2	195661
Aurora	IL	44.1	195478
Little Rock	AR	40.1	192913
Moreno Valley	CA	36.5	192696
Glendale	CA	68.8	190871
Amarillo	TX	43.7	190543
Columbus	GA	32.8	189937
Huntington Beach	CA	62.5	189221
Sunrise Manor	NV	43.2	189156
Grand Rapids	MI	54.3	187794
Salt Lake City	UT	57.6	186419
Worcester	MA	60.4	180579
Newport News	VA	40.6	180426
Tallahassee	FL	39.2	180192
Knoxville	TN	40.4	180189
Huntsville	AL	32.1	179192
Providence	RI	72.7	177627
Spring Valley	NV	50.9	177620
Brownsville	TX	31.6	176086
Santa Clarita	CA	45.7	175164
Grand Prairie	TX	34.7	174866
Jackson	MS	34.6	173352
Overland Park	KS	47.4	173005
Garden Grove	CA	63.6	171823
Chattanooga	TN	37.1	168164
Oceanside	CA	45.4	166405
Santa Rosa	CA	53.4	165735
Fort Lauderdale	FL	59.2	165694
Rancho Cucamonga	CA	49.1	165055
Port St. Lucie	FL	19.9	164360
Ontario	CA	46.3	164260
Tempe	AZ	61.6	162125
Vancouver	WA	49.3	161913
Springfield	MO	48.3	159387
Lancaster	CA	32.3	156592
Eugene	OR	55.2	154650
Pembroke Pines	FL	42.7	154456
Cape Coral	FL	23.5	154300
Salem	OR	49	153647
Sioux Falls	SD	43	153346
Peoria	AZ	33.9	153056
Springfield	MA	58.7	152945
Palmdale	CA	28.4	152504
Rockford	IL	47.8	152492
Elk Grove	CA	42	152482
Corona	CA	44.6	151868
Salinas	CA	53.3	149540
