State	Admission
Delaware	12/7/1787
Pennsylvania	12/12/1787
New Jersey	12/18/1787
Georgia	1/2/1788
Connecticut	1/9/1788
Massachusetts	2/6/1788
Maryland	4/28/1788
South Carolina	5/23/1788
New Hampshire	6/21/1788
Virginia	6/25/1788
New York	7/26/1788
North Carolina	11/21/1789
Rhode Island	5/29/1790
Vermont	3/4/1791
Kentucky	6/1/1792
Tennessee	6/1/1796
Ohio	3/1/1803
Louisiana	4/30/1812
Indiana	12/11/1816
Mississippi	12/10/1817
Illinois	12/3/1818
Alabama	12/14/1819
Maine	3/19/1820
Missouri	8/10/1821
Arkansas	6/15/1836
Michigan	1/26/1837
Florida	3/3/1845
Texas	12/29/1845
Iowa	12/28/1846
Wisconsin	5/29/1848
California	9/9/1850
Minnesota	5/11/1858
Oregon	2/14/1859
Kansas	1/29/1861
West Virginia	6/20/1863
Nevada	10/31/1864
Nebraska	3/1/1867
Colorado	8/1/1876
North Dakota	11/2/1889
South Dakota	11/2/1889
Montana	11/8/1889
Washington	11/11/1889
Idaho	7/3/1890
Wyoming	7/10/1890
Utah	1/4/1896
Oklahoma	11/16/1907
New Mexico	1/6/1912
Arizona	2/14/1912
Alaska	1/3/1959
Hawaii	8/21/1959
