State	Electors	ObamaVotes	ObamaPercentage
AL	9	813479	38.74
AK	3	123594	37.89
AZ	10	1034707	45.12
AR	6	422310	38.86
CA	55	8274473	61.01
CO	9	1288576	53.66
CT	7	997772	60.59
DE	3	255459	61.94
DC	3	245800	92.46
FL	27	4282074	51.03
GA	15	1844123	46.99
HI	4	325871	71.85
ID	4	236440	36.10
IL	21	3419348	61.92
IN	11	1374039	49.95
IA	7	828940	53.93
KS	6	514765	41.65
KY	8	751985	41.17
LA	9	782989	39.93
ME	2	421923	57.67
MD	10	1629467	61.92
MA	12	1904097	61.80
MI	17	2872579	57.43
MN	10	1573354	54.06
MS	6	554662	43.00
MO	11	1441911	49.29
MT	3	231667	47.25
NE	2	333319	41.60
NV	5	533736	55.15
NH	4	384826	54.13
NJ	15	2215422	57.27
NM	5	472422	56.91
NY	31	4804701	62.88
NC	15	2142651	49.69
ND	3	141278	44.62
OH	20	2940044	51.50
OK	7	502496	34.35
OR	7	1037291	56.75
PA	21	3276363	54.64
RI	4	296571	63.13
SC	8	862449	44.90
SD	3	170924	44.75
TN	11	1087437	41.83
TX	34	3528633	43.68
UT	5	327670	34.41
VT	3	219262	67.44
VA	13	1959532	52.63
WA	11	1750848	57.65
WV	5	303857	42.59
WI	10	1677211	56.22
WY	3	82868	32.54
